Dataset	Time(s)	Memory(MB)	ARI	AMI	Homogeneity	Silhouette	SSS_Spatial	SSS_Penalty
DLPFC_151507	56.4828	429.8986	0.4379	0.6344	0.6300	0.0442	-0.0397	0.1083
DLPFC_151508	62.9121	462.2836	0.4856	0.6632	0.6547	0.0476	-0.0115	0.0669
DLPFC_151509	70.8321	551.4934	0.3593	0.5728	0.5836	0.0835	-0.0866	0.1665
DLPFC_151510	67.7569	516.4188	0.4631	0.6353	0.6737	0.0408	-0.1094	0.1502
DLPFC_151669	46.9423	322.5749	0.5729	0.6495	0.7043	0.0166	-0.0153	0.0214
DLPFC_151670	41.8936	294.5507	0.4362	0.5914	0.6852	0.0205	-0.0188	0.0450
DLPFC_151671	54.5725	406.3772	0.5994	0.7155	0.7533	0.0699	0.0578	0.0087
DLPFC_151672	53.2056	387.8437	0.6312	0.7311	0.7542	0.0548	0.0363	0.0259
DLPFC_151673	46.3415	318.7179	0.6356	0.7337	0.7508	0.0850	0.0434	0.1146
DLPFC_151674	45.7590	324.6934	0.5878	0.7069	0.7182	0.0841	0.0326	0.0685
DLPFC_151675	45.0454	310.5540	0.5999	0.7034	0.7066	0.0653	0.0331	0.0432
DLPFC_151676	42.8505	288.2004	0.6127	0.6893	0.6884	0.0610	-0.0008	0.1123
3.Human_Breast_Cancer	52.8804	347.1191	0.5149	0.6806	0.6989	0.1200	0.0223	0.1461
Human_Ovarian_Cancer	44.0623	293.7112	0.0000	0.0000	0.0000	-0.0619	-0.2794	0.3830
